"ticker","date","open_price","high_price","low_price","close_price","volume","price_change","price_change_percent","real_score"
"SBER","2022-11-09","131.06","131.47","126.42","127.30","64832870","-3.99","-3.04","0.9197958819568156"
"SBER","2022-11-10","131.02","136.69","129.77","136.68","170890500","9.38","7.37","0.0090480595827102"
"SBER","2022-11-11","137.71","138.42","135.13","136.98","75278900","0.30","0.22","-0.4175948351621628"
"SBER","2022-11-14","137.41","140.70","135.83","139.80","82383460","2.82","2.06","0.9310484733432532"
"SBER","2022-11-15","140.40","141.00","130.86","135.66","145273030","-4.14","-2.96","0.931173589080572"
"SBER","2022-11-16","136.99","139.73","136.32","139.18","66816110","3.52","2.59","0.8926852028816938"
"SBER","2022-11-17","139.11","140.35","136.60","137.57","59085810","-1.61","-1.16","0.9349044021219016"
"SBER","2022-11-18","137.10","137.81","135.84","136.89","44009880","-0.68","-0.49","-0.9492488950490952"
"SBER","2022-11-21","136.01","136.30","132.51","134.46","83395500","-2.43","-1.78","-0.8750749118626118"
"SBER","2022-11-22","134.55","136.00","133.81","135.65","45774100","1.19","0.89","-0.9383907783776522"
"SBER","2022-11-23","135.70","137.55","134.50","136.59","52259060","0.94","0.69","0.9280455447733402"
"SBER","2022-11-24","137.00","138.41","136.12","136.61","42319840","0.02","0.01","0.9211817383766174"
"SBER","2022-11-25","137.20","137.24","135.41","136.53","29248180","-0.08","-0.06","0.9171450901776552"
"SBER","2022-11-28","135.01","136.20","134.10","135.53","45047440","-1.00","-0.73","-0.96704981662333"
"SBER","2022-11-29","136.29","137.20","135.88","136.37","31503750","0.84","0.62","0.8164508249610662"
"SBER","2022-11-30","136.51","136.78","135.23","136.78","26797760","0.41","0.30","0.9116740878671408"
"SBER","2022-12-01","137.11","137.95","136.31","137.15","32859350","0.37","0.27","0.9152965871617198"
"SBER","2022-12-02","136.98","137.10","136.17","136.66","19212600","-0.49","-0.36","0.9327503852546216"
"SBER","2022-12-05","136.66","142.68","136.25","142.00","103887240","5.34","3.91","0.2831846307963133"
"SBER","2022-12-06","142.20","143.37","139.11","140.61","51734090","-1.39","-0.98","0.9340002592653036"
"SBER","2022-12-07","140.50","142.81","138.36","142.32","69817930","1.71","1.22","-0.964882323052734"
"SBER","2022-12-08","143.50","143.60","139.80","139.92","63554380","-2.40","-1.69","0.6106504127383232"
"SBER","2022-12-09","139.70","140.70","139.24","140.03","29390220","0.11","0.08","0.3455815501511097"
"SBER","2022-12-12","140.19","140.87","138.70","139.48","33347970","-0.55","-0.39","0.5457242727279663"
"SBER","2022-12-13","139.65","139.93","136.67","138.13","52159500","-1.35","-0.97","-0.9673677133396268"
"SBER","2022-12-14","138.25","138.25","136.60","137.30","34031240","-0.83","-0.60","0.9151131957769394"
"SBER","2022-12-15","136.97","137.08","134.30","134.55","54698540","-2.75","-2.00","-0.9651280543766916"
"SBER","2022-12-16","134.50","136.09","134.13","135.45","32731270","0.90","0.67","-0.922089010477066"
"SBER","2022-12-19","135.13","136.73","132.86","134.64","58784640","-0.81","-0.60","0.7588037103414536"
"SBER","2022-12-20","134.51","138.40","134.41","138.28","44987710","3.64","2.70","0.9134432226419448"
"SBER","2022-12-21","138.70","139.12","135.81","137.75","45361520","-0.53","-0.38","0.9255748502910136"
"SBER","2022-12-22","137.99","138.97","137.00","137.69","30488490","-0.06","-0.04","-0.964934210292995"
"SBER","2022-12-23","137.49","138.26","136.81","137.94","22816280","0.25","0.18","0.9096440533176064"
"SBER","2022-12-26","138.34","141.00","138.00","140.95","49323760","3.01","2.18","0.1042564306408166"
"SBER","2022-12-27","141.31","142.00","139.60","139.90","41507480","-1.05","-0.74","0.9261108320206404"
"SBER","2022-12-28","139.79","140.40","138.60","139.51","27937090","-0.39","-0.28","0.4943898878991604"
"SBER","2022-12-29","139.50","141.65","139.22","140.96","32029570","1.45","1.04","0.428200215101242"
"SBER","2022-12-30","140.84","141.48","140.13","141.15","28072880","0.19","0.13","0.0377888903021812"
"SBER","2023-01-03","141.60","143.25","141.56","141.78","21027110","0.63","0.45","0.8722779601812363"
"SBER","2023-01-04","141.84","142.28","140.75","141.43","17094250","-0.35","-0.25","-0.9496220834553242"
"SBER","2023-01-05","141.60","141.84","140.54","141.27","17236330","-0.16","-0.11","-0.9680627440102398"
"SBER","2023-01-06","141.35","141.62","140.90","141.40","10647380","0.13","0.09","-0.9674872988834976"
"SBER","2023-01-09","141.84","142.99","141.65","142.40","31314900","1.00","0.71","0.6283197849988937"
"SBER","2023-01-10","142.11","142.85","141.31","142.81","23691190","0.41","0.29","0.9129845593124628"
"SBER","2023-01-11","142.97","149.98","142.87","149.96","123046960","7.15","5.01","0.904966501519084"
"SBER","2023-01-12","150.05","150.79","148.39","149.30","46557290","-0.66","-0.44","0.929597856476903"
"SBER","2023-01-13","149.57","153.28","147.71","151.69","88460580","2.39","1.60","0"
"SBER","2023-01-16","152.85","154.00","151.88","153.71","51527810","2.02","1.33","-0.040968582034111"
"SBER","2023-01-17","153.97","154.31","150.01","150.45","84226560","-3.26","-2.12","0.7910239296033978"
